Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud_WGS84;Latitud_WGS84
2021S007017    ;2;Eixample;6;la Sagrada Família;197302;Marina;0219 0219;Divendres;2021;12;Desembre;3;14;Tarda;No és causa del  vianant;0;1;0;1;2;431342,93;4583916,81;2.177.507.581;41.402.014.950
2021S004022    ;2;Eixample;5;el Fort Pienc;89004;Consell de Cent;0450 0452;Diumenge;2021;7;Juliol;18;0;Nit;No és causa del  vianant;0;1;0;1;2;431223,66;4583558,44;2.176.121.590;41.398.777.023
2021S006894    ;2;Eixample;5;el Fort Pienc;325005;Sicília;0191 0191;Dilluns;2021;11;Novembre;29;18;Tarda;No és causa del  vianant;0;1;0;1;3;431145,77;4583713,44;2.175.172.267;41.400.166.390
2021S003742    ;2;Eixample;5;el Fort Pienc;325005;Sicília;0191 0191;Dimarts;2021;7;Juliol;6;12;Matí;No és causa del  vianant;0;1;0;1;2;431145,77;4583713,44;2.175.172.267;41.400.166.390
2021S001881    ;2;Eixample;5;el Fort Pienc;100800;Diputació;0445 0447;Dilluns;2021;4;Abril;12;19;Tarda;No és causa del  vianant;0;1;0;1;2;431511,08;4583683,03;2.179.545.482;41.399.923.714
2021S004201    ;3;Sants-Montjuïc;11;el Poble-sec;234500;Olivera;0001 0005;Dilluns;2021;7;Juliol;26;12;Matí;No és causa del  vianant;0;1;0;1;2;429826,43;4580742,68;2.159.734.915;41.373.295.590
2021S006580    ;2;Eixample;6;la Sagrada Família;350308;València;0423 0423;Dimecres;2021;11;Novembre;17;7;Matí;No és causa del  vianant;0;1;0;1;2;431187,54;4583927,88;2.175.647.523;41.402.101.362
2021S003219    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0788 0788;Dilluns;2021;6;Juny;14;12;Matí;No és causa del  vianant;0;1;0;1;2;431739,19;4583645,44;2.182.278.326;41.399.604.561
2021S002689    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0794 0794;Divendres;2021;5;Maig;21;13;Matí;No és causa del  vianant;0;1;0;1;2;431752,74;4583658,63;2.182.438.920;41.399.724.511
2021S004867    ;2;Eixample;5;el Fort Pienc;178308;Lepant;0159 0159;Dissabte;2021;9;Setembre;4;16;Tarda;No és causa del  vianant;0;1;0;1;3;431830,69;4583601,1;2.183.377.820;41.399.212.971
